10um bubble,,duplicate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
499.9981689,0.2525714636,499.9981689,0.2526645958,
499.5040283,0.2518995702,499.5040283,0.2524061799,
499.0098877,0.2528823912,499.0098877,0.2524822056,
498.515625,0.2525098026,498.515625,0.252790004,
497.9832764,0.2525006235,497.9832764,0.2529819608,
497.4889221,0.2531328797,497.4889221,0.2528518438,
496.9945679,0.2522523999,496.9945679,0.2539390028,
496.5000916,0.2525716126,496.5000916,0.2542261481,
496.0056458,0.2541659176,496.0056458,0.2538799644,
495.5110779,0.2534698546,495.5110779,0.2540746033,
495.0164185,0.2534589767,495.0164185,0.2533444762,
494.4837952,0.2531406581,494.4837952,0.2525317371,
493.9891052,0.2523731887,493.9891052,0.2525667548,
493.4943542,0.2515279055,493.4943542,0.2520677149,
492.9995117,0.2494413853,492.9995117,0.2520324886,
492.5046997,0.2524019182,492.5046997,0.2523324192,
492.0097656,0.2524566352,492.0097656,0.2536508441,
491.5148621,0.2538311779,491.5148621,0.2549431026,
490.9817505,0.2542722225,490.9817505,0.2543029487,
490.4866638,0.2518159449,490.4866638,0.2531402409,
489.9915466,0.2529960573,489.9915466,0.2529844642,
489.4964294,0.2519538701,489.4964294,0.2519527078,
489.0012207,0.2497305572,489.0012207,0.2532681525,
488.5058899,0.2526714504,488.5058899,0.253152281,
488.0106506,0.2542795539,488.0106506,0.2541816831,
487.5152893,0.2542044818,487.5152893,0.2555387616,
486.98172,0.2542579174,486.98172,0.2546009719,
486.4863586,0.253215462,486.4863586,0.2543342412,
485.9907837,0.2532586753,485.9907837,0.2533623874,
485.4952393,0.2505789101,485.4952393,0.2515373826,
484.9996338,0.2513560653,484.9996338,0.2508288622,
484.5039978,0.2518073916,484.5039978,0.2509700656,
484.0082397,0.25364393,484.0082397,0.2545899749,
483.5125122,0.254386127,483.5125122,0.2550634146,
483.0166931,0.2532772422,483.0166931,0.2551731467,
482.4826965,0.2550634146,482.4826965,0.2559981048,
481.9868469,0.2552818954,481.9868469,0.2551477551,
481.4908752,0.2553314865,481.4908752,0.2557507753,
480.994812,0.2539145947,480.994812,0.255415082,
480.4988403,0.2541317642,480.4988403,0.2552725673,
480.0026855,0.2544170618,480.0026855,0.2558293343,
479.5065308,0.2556774914,479.5065308,0.2560176253,
479.0103149,0.2543011308,479.0103149,0.2553854585,
478.5141296,0.2555501461,478.5141296,0.2563978136,
478.0177612,0.2553877234,478.0177612,0.2564784586,
477.4831848,0.2557358742,477.4831848,0.2570278943,
476.986908,0.2556668222,476.986908,0.2574474514,
476.490387,0.2567718923,476.490387,0.2567846775,
475.9939575,0.2562170625,475.9939575,0.2580594718,
475.497345,0.2557207644,475.497345,0.257208854,
475.0007629,0.255621016,475.0007629,0.257219851,
474.5041199,0.2558950782,474.5041199,0.2578543127,
474.0074768,0.2574221194,474.0074768,0.2586508095,
473.5106812,0.255405575,473.5106812,0.2574737966,
473.0139465,0.2564978302,473.0139465,0.2587759197,
472.5170593,0.2573227286,472.5170593,0.2599183619,
471.9819641,0.2584352791,471.9819641,0.2605148852,
471.4850769,0.259226799,471.4850769,0.2596134841,
470.9880981,0.2589897811,470.9880981,0.2611177564,
470.4910278,0.2581374645,470.4910278,0.2607690394,
469.993988,0.2603135407,469.993988,0.2607480586,
469.4967957,0.2602089047,469.4967957,0.2614242435,
468.9996338,0.2591094971,468.9996338,0.2612496018,
468.5024414,0.2606208026,468.5024414,0.2627549767,
468.005127,0.2598451972,468.005127,0.2627134919,
467.5078125,0.2621131241,467.5078125,0.2625653446,
467.010498,0.2621728182,467.010498,0.2635228038,
466.5130615,0.262927562,466.5130615,0.2628146112,
466.0155945,0.2609737515,466.0155945,0.2638633251,
465.5180969,0.262691021,465.5180969,0.2632444203,
464.9822693,0.2632480562,464.9822693,0.2642563879,
464.4846497,0.2648046315,464.4846497,0.2656702399,
463.98703,0.2645301819,463.98703,0.2654929757,
463.4893188,0.2644311488,463.4893188,0.2653970122,
462.9915161,0.2644348145,462.9915161,0.2645878494,
462.4938049,0.2645201981,462.4938049,0.2649767995,
461.9959106,0.2646793425,461.9959106,0.2645148039,
461.4980469,0.2635172904,461.4980469,0.2650664747,
461.0000916,0.2642538249,461.0000916,0.2653911412,
460.5021362,0.266587019,460.5021362,0.2669487298,
460.0040894,0.2668951452,460.0040894,0.2676720023,
459.5060425,0.2667201161,459.5060425,0.2676475048,
459.007843,0.2671064734,459.007843,0.2678528428,
458.5097656,0.2683804631,458.5097656,0.2677530348,
458.0115051,0.2682665288,458.0115051,0.2683436871,
457.5132141,0.2680964172,457.5132141,0.2673640549,
457.0149231,0.2680927217,457.0149231,0.268573463,
456.516571,0.2665756941,456.516571,0.2688191533,
456.018158,0.2679791749,456.018158,0.2674525082,
455.4813843,0.268709749,455.4813843,0.2686060369,
454.9829102,0.269754082,454.9829102,0.2679680586,
454.4842834,0.2693235576,454.4842834,0.268786937,
453.9857483,0.2695527077,453.9857483,0.2692230642,
453.4870605,0.2693020403,453.4870605,0.2696715593,
452.9883728,0.2693498433,452.9883728,0.2702650726,
452.4897156,0.271053195,452.4897156,0.2705852985,
451.9909363,0.2708740234,451.9909363,0.2707469761,
451.4920654,0.2708944678,451.4920654,0.270231396,
450.9932251,0.2710180283,450.9932251,0.2704772949,
450.4942627,0.2706144154,450.4942627,0.2709297836,
449.9953308,0.2707476616,449.9953308,0.2703450322,
449.4963074,0.2698680162,449.4963074,0.2688871026,
448.9972839,0.2696614861,448.9972839,0.2705726922,
448.4981689,0.2711785138,448.4981689,0.2702486813,
447.999054,0.2708130181,447.999054,0.2704257965,
447.4998474,0.2703933418,447.4998474,0.2708445191,
447.0005798,0.2718500495,447.0005798,0.2708590031,
446.5013428,0.2706713676,446.5013428,0.2703287899,
446.0020142,0.2706689537,446.0020142,0.2715853751,
445.5026245,0.271397382,445.5026245,0.272116363,
445.0032043,0.2724500299,445.0032043,0.2717445791,
444.5037537,0.2715530097,444.5037537,0.2720066309,
444.0042419,0.272185117,444.0042419,0.2728788555,
443.5046997,0.2731516361,443.5046997,0.2721897662,
443.0050964,0.2737647593,443.0050964,0.27184093,
442.5054321,0.2731700838,442.5054321,0.2734977305,
442.0057373,0.2739744782,442.0057373,0.2734957635,
441.5060425,0.2737012804,441.5060425,0.2734046876,
441.0062561,0.2746944427,441.0062561,0.2745643556,
440.5064697,0.273042649,440.5064697,0.2747923732,
440.0065613,0.2736905217,440.0065613,0.2746063769,
439.5066223,0.2711008191,439.5066223,0.274269253,
439.0066833,0.2736637294,439.0066833,0.2746226192,
438.5066833,0.2747263014,438.5066833,0.2747264504,
438.0066528,0.2748708427,438.0066528,0.2758025527,
437.5065613,0.2758743763,437.5065613,0.2746943235,
437.0064392,0.2755752206,437.0064392,0.274925977,
436.5061951,0.2750080824,436.5061951,0.2758610249,
436.006012,0.2738184333,436.006012,0.2751584053,
435.5057373,0.2757376432,435.5057373,0.2755396068,
435.0054016,0.272411257,435.0054016,0.2761739194,
434.5050964,0.2748307288,434.5050964,0.275054574,
434.0046997,0.2762454152,434.0046997,0.2766344249,
433.5042419,0.2760016024,433.5042419,0.2763138711,
433.0036926,0.2768912315,433.0036926,0.2771058679,
432.5031738,0.2768278718,432.5031738,0.2777953744,
